Publication,Round ID,Round Desc/town,Redelivery cut off time M-F,Redelivery cut off time Sat,Redelivery cut off Sun,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D030001012,NGAIO RUN 12 (ALBER),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D030001013,NGAIO RUN 13 (LESLEY),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D030001014,NGAIO RUN 14 (VA'A),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D030001015,CROFTON DOWNS RUN 15 (ADRIENNE,8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D030001019,WGTON HIGHLAND PARK 19 (ALBER),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D030001020,WGTON WADESTOWN 20 (RAJ),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D030001021,WGTON WILTON 21 (CHRIS EDEN),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D030001031,MALVINA MAJOR RUN 31-PATRICK L,8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D035002001,PORIRUA RUN 1 (KEVIN),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D035002002,PORIRUA RUN 2 (TIM HAVILL),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D035002003,PORIRUA RUN 3 (TAFILI),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D035002004,PORIRUA RUN 4(PETER),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D035002005,PORIRUA RUN 5(ALLAN),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D035002006,PORIRUA RUN 6 (IONA),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D035002007,PORIRUA RUN 7 (CHIN),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D035002008,PORIRUA RUN 8 (TRACE),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D035002009,PORIRUA RUN 9 (LANCE),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D035002010,PORIRUA RUN 10 (NAJIM),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D035002011,PORIRUA RUN 11 (NAJIM),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D035002012,PORIRUA RUN 12 (RICKY),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D040005001,UPPER HUTT RUN 1 (CARL),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
