,Location,Blackout Date,Nearing Black Out-Check with SD before scheduling
FL,Cape Coral,None,
FL,,,
FL,Bonita Springs,None,
FL,,,
FL,Sanibel,None,
FL,,,
FL,Naples,None,
FL,,,
FL,Marco Island,None,
FL,,,
FL,Everglades,None,
FL,,,
FL,West Palm,14-Jun-15,These dates are YELLOW only if they need more than 1 instructor.
FL,,,
FL,,19-Jun-15,June 6-8 2015
FL,,,
FL,,20-Jun-15,June 10-13 2015
FL,,,
FL,,27-Jun-15,
FL,Jacksonville,26-Jun-15,"June 1, 2015-June 14, 2015 These dates are YELLOW only if they need more than 1 instructor."
FL,,,
FL,Tallahassee,None,"June 1, 2015-June 14, 2015 These dates are YELLOW only if they need more than 1 instructor."
FL,,,
FL,,,"June 11-25, 2015- Limited instructor availability during the week"
GA,Entire State,"June 13, 2015- 1 instructor available in Columbus","May 21, 2015 (only one instructor available in Savannah)"
GA,,,
GA,,"June 20, 2015- 1 instructor available in Americus",
GA,,,
GA,,"June 27, 2015- 1 instructor available in Savannah",
GA,,,
GA,,"July 4, 2015-Holiday",
GA,,,
GA,,"July 11, 2015- 1 instructor available in Savanah",
GA,,,
GA,,"July 18, 2015- 3 instructor available in Atlanta",
GA,,,
GA,,"July 25, 2015- 3 instructors available in Atlanta",
HI,Kauai,,All future dates until further notice
HI,,,
IA,Entire State,None,
IA,,,
IL,Indianapolis,None,
IL,,,
IL,Chicago,None,
IL,,,
IN,Entire State,14-Jul-15,
IN,,,
IN,Indianapolis,None,
IN,,,
IN,Liberty,,"June 4- Aug 31, 2015"
IN,,,
KY,Brooksville,,"June 4- Aug 31, 2015"
KY,,,
